sample	dir	lane	rep	fq1	fq2
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L007	001	UF_Derv_001_ATCACG_L007_R1_001.fastq.gz	UF_Derv_001_ATCACG_L007_R2_001.fastq.gz
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L007	002	UF_Derv_001_ATCACG_L007_R1_002.fastq.gz	UF_Derv_001_ATCACG_L007_R2_002.fastq.gz
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L007	003	UF_Derv_001_ATCACG_L007_R1_003.fastq.gz	UF_Derv_001_ATCACG_L007_R2_003.fastq.gz
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L008	001	UF_Derv_001_ATCACG_L008_R1_001.fastq.gz	UF_Derv_001_ATCACG_L008_R2_001.fastq.gz
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L008	002	UF_Derv_001_ATCACG_L008_R1_002.fastq.gz	UF_Derv_001_ATCACG_L008_R2_002.fastq.gz
UF_Derv_001_ATCACG	Sample_UF_Derv_001	L008	003	UF_Derv_001_ATCACG_L008_R1_003.fastq.gz	UF_Derv_001_ATCACG_L008_R2_003.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L007	001	UF_Derv_002_TTAGGC_L007_R1_001.fastq.gz	UF_Derv_002_TTAGGC_L007_R2_001.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L007	002	UF_Derv_002_TTAGGC_L007_R1_002.fastq.gz	UF_Derv_002_TTAGGC_L007_R2_002.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L007	003	UF_Derv_002_TTAGGC_L007_R1_003.fastq.gz	UF_Derv_002_TTAGGC_L007_R2_003.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L008	001	UF_Derv_002_TTAGGC_L008_R1_001.fastq.gz	UF_Derv_002_TTAGGC_L008_R2_001.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L008	002	UF_Derv_002_TTAGGC_L008_R1_002.fastq.gz	UF_Derv_002_TTAGGC_L008_R2_002.fastq.gz
UF_Derv_002_TTAGGC	Sample_UF_Derv_002	L008	003	UF_Derv_002_TTAGGC_L008_R1_003.fastq.gz	UF_Derv_002_TTAGGC_L008_R2_003.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L007	001	UF_Derv_003_TGACCA_L007_R1_001.fastq.gz	UF_Derv_003_TGACCA_L007_R2_001.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L007	002	UF_Derv_003_TGACCA_L007_R1_002.fastq.gz	UF_Derv_003_TGACCA_L007_R2_002.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L007	003	UF_Derv_003_TGACCA_L007_R1_003.fastq.gz	UF_Derv_003_TGACCA_L007_R2_003.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L008	001	UF_Derv_003_TGACCA_L008_R1_001.fastq.gz	UF_Derv_003_TGACCA_L008_R2_001.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L008	002	UF_Derv_003_TGACCA_L008_R1_002.fastq.gz	UF_Derv_003_TGACCA_L008_R2_002.fastq.gz
UF_Derv_003_TGACCA	Sample_UF_Derv_003	L008	003	UF_Derv_003_TGACCA_L008_R1_003.fastq.gz	UF_Derv_003_TGACCA_L008_R2_003.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L007	001	UF_Derv_004_ACAGTG_L007_R1_001.fastq.gz	UF_Derv_004_ACAGTG_L007_R2_001.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L007	002	UF_Derv_004_ACAGTG_L007_R1_002.fastq.gz	UF_Derv_004_ACAGTG_L007_R2_002.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L007	003	UF_Derv_004_ACAGTG_L007_R1_003.fastq.gz	UF_Derv_004_ACAGTG_L007_R2_003.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L007	004	UF_Derv_004_ACAGTG_L007_R1_004.fastq.gz	UF_Derv_004_ACAGTG_L007_R2_004.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L008	001	UF_Derv_004_ACAGTG_L008_R1_001.fastq.gz	UF_Derv_004_ACAGTG_L008_R2_001.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L008	002	UF_Derv_004_ACAGTG_L008_R1_002.fastq.gz	UF_Derv_004_ACAGTG_L008_R2_002.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L008	003	UF_Derv_004_ACAGTG_L008_R1_003.fastq.gz	UF_Derv_004_ACAGTG_L008_R2_003.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L008	004	UF_Derv_004_ACAGTG_L008_R1_004.fastq.gz	UF_Derv_004_ACAGTG_L008_R2_004.fastq.gz
UF_Derv_004_ACAGTG	Sample_UF_Derv_004	L008	005	UF_Derv_004_ACAGTG_L008_R1_005.fastq.gz	UF_Derv_004_ACAGTG_L008_R2_005.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	001	UF_Derv_005_GCCAAT_L007_R1_001.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_001.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	002	UF_Derv_005_GCCAAT_L007_R1_002.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_002.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	003	UF_Derv_005_GCCAAT_L007_R1_003.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_003.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	004	UF_Derv_005_GCCAAT_L007_R1_004.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_004.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L008	001	UF_Derv_005_GCCAAT_L008_R1_001.fastq.gz	UF_Derv_005_GCCAAT_L008_R2_001.fastq.gz
